tipo_obra,padrao,regiao,valor_m2_total,mao_obra_m2,material_m2,adm_m2
R-1,Baixo,SP,2055.47,1197.52,844.70,58.23
R-1,Normal,SP,2524.98,1460.00,980.00,84.98
R-1,Alto,SP,3058.39,1800.00,1200.00,58.39
PP-4,Baixo,SP,1914.38,1100.00,750.00,64.38
PP-4,Normal,SP,2353.87,1350.00,950.00,53.87
R-8,Baixo,SP,1825.52,1050.00,700.00,75.52
R-8,Normal,SP,2100.45,1197.52,844.70,58.23
R-8,Alto,SP,2467.55,1400.00,1000.00,67.55
R-16,Normal,SP,2041.22,1150.00,850.00,41.22
R-16,Alto,SP,2675.79,1500.00,1100.00,75.79
PIS,Baixo,SP,1421.47,900.00,500.00,21.47
GI,Normal,SP,1190.44,700.00,450.00,40.44
